112|Andre Broadnax|||||||||||||||Queen Bee & Blue Hornet Band||||U.N.V.|||Xavier||Axel Zwingenberger
Andre, Peter|Benito|Chess Blues (Series)|Darrius|Escorts|Flick Hits-Take 2|Ginuwine ; http://www.ginuwine.com/|Harlem Rock N' Blues (Series)||Jagged Edge ; http://www.jaggededge.net/|Kid Dynamite|Lee, Laura|Jackie Moore|Nik-Tash-Ta|Otis Williams & The Charms|Patrix||Patrice Rushen|Jamie Sparks|Russ Tolman|||Washington Jr, Grover|||
Andrea True Connection|Bennett, Gregory|Chi-Lites|Davina|Eshay|Flirts|Give Your Body Up (Rhino Series)|||Jah Works|Kilo|Laurnea||Nite Liters|Out Of Eden|Patty & Emblems||Paul Robeson|Jamshied Sharifi|Sam Taylor|||Jack Wilson|||
Aneel|Burdon & War, Eric|Chic|Dazz Band|Esquires|Floaters|Glass Family|||Jaheim ; http://www.jaheimmusic.com/|Kina ; http://www.4kina.com/|Lavias|Jason Morphew|Nitro Deluxe|Outkast|Peace Bureau||Paul Rutherford|Sams, Jeffrey D. |Sleepy's Theme|||Jackie Wilson|||
Angel Session|Best Of Candlelite Records (Series)|Chicago Blues Nights (Series)|De La Soul|Essence|Flupway|Glenn Walters featuring Strokeland Superband|Have Mercy||Jakki O|King Biscuit Boy|LeVert|Jay McShann|No Authority|Outta Order|Peaches & Herb||R & B Confidential|Jesse Stone|Sonny Terry|||Jason Weaver|||
Angelic|Best Of House Music|Chick Corea|De Vaughn/Direct Current|Essential Dancefloor (Series)|For Collectors Only (Series)|Gaynor, Gloria|Head Bobbin' Entertainment||Jamaican Quad Squad|King D|Leadbelly|Jim McCarty|No Question|Over Comers|Pearls Of Faith||R & B Relix (Series)|Jill Scott|Sonny Thompson|||Jean Wells|||
Anggun|Best Of Motorcity (Series)|Chicken Soup For The Soul (Rhino Audio CD Series)|Dead Nation Crew|Essential Disco (Series)|For Real|Goldee Heart|Heart Of Southern Soul||Jamal|King Floyd|League Of Decency|Jimmy Murphy|Noel|Robert Owens|Pebbles||R&B Years|Jimmy Slyde|Sonny Til|||Jimmy Witherspoon|||
Anthem|Best Of New Orleans Rhythm And Blues (Series)|Chimes/Videls|Deb Jenkins Band|Essential Masters of Jazz (Series)|Force M.d.'s|Golden Age Of Black Music (Series)|Heatwave||Jamelia ; http://www.jamelia.com/|Kinney/Lasalle/Wilson/Duncans|Leftfield|Joan Matthews|Non-Stop Disco (Series)|Roy Orbison|Pelvic Delta||R.B.L. Posse|Jimmy Soul|Sonny Treadway|||Jody Watley|||
Anthony B|Best Of Rave (Series)|Chin|Debarge|Estevan|Force One Network|Golden Dozen|Heatwave/C & C Music Factory||James Thom Thing|Kipori 'Baby Wolf' Woods|Legendary Dukes|Joe Marquand|Non-Stop Funk (Series)|Shuggie Otis|People's Choice||R.J.'s Latest Arrival|Joe Sample|Sonny Turner|||Watson, Johnny "Guitar" |||
Antitesi|Best Of Romantic Moments|Chocolate Milk|Deborah|Eternal|Forever Gold (Series)|Golden Philly Classics (Series)|Heaven & Earth (Reggae)||Jamestown|Kiss the Sky|Legends Of Doo-Wop (Series)|Joe Marshalla|Nonstop Disco Workout (Series)|Sounds Orchestral|Percy Mayfield (Tribute)||R.p.m.|Joe Simon|Spyder Turner|||Walker, Johnny 'Big Moose' |||
Antonio Carlos Jobim (Tribute)|Between The Lines|Chocolate Syrup/Jimmy Briscoe|Decade Of Dance|Eternal Voices|Forever Soul (Series)|Golden Throats (Rhino Series)|Hunter, Herbert||Jamey Aebersold Play-A-Long Series|Kleeer|Legends Of Jump Blues (Series)|Joe Meek|Noreaga|Official Dunzi & C-low Swing the Selector, The|Perfect Blend||RST Records: Early R&B (Series)|Joe Stubbs|Steve Tirado|||Johnny Whitehall|||
