Andromeda|Black Widow|Cold|Desultory|||Gun|Human Waste Project||||Lewis, Phil|Melvins|||Project 86||Runrig|Scots Pirates|Tortoise Corpse||||||
Anesthesy|Blackend (Series)|Cold Chisel|Diabolical Masquerade|||Gun Club|Humble Pie||||Lynott, Phil|Memento Mori|||Prong||Rush|Scott Weiland|Totenmond|Uriah Heep|||||
Angel|Blackfoot|Collective Soul|Diaboliks||Frizzell, John|Guns N' Roses|Hunger Farm||||Laker, Rosalind|Memory Garden|||Prophecy (Metal)||Rush (Tribute)|Scream|Totennacht||Von Groove|Witchfinder General|||
Angel City|Blackjack|Collide|Diabolique|||Guns N' Roses (Tribute)|Hunt|||||Menhir|Necroside||Psycho Motel||Ruts|Screamin' Cheetah Wheelies|Tourniquet||||||
Angel Corpse|Blackmore's Night|Collision|Diamond Head||Ford, Lita|Guru Guru|Hunter Ronson Band||||Lukather, Steve|Mental Crypt|Neurosis, Inc.||Psychotic Waltz||Ryker's|Screaming Bloody Mary's|Tox||||||
Angel Dust|Blackstar|Colosseum|Dictators|||Guttermouth|Hurricane||||Living End, The|Mental Home|Nevertheless||Psychotica||Sun Red Sun|Screaming Blue Messiahs|Toxic Reasons||||||
Angel Witch|Blackstar Rising|Colosseum II|Die Apokalyptischen Reiter||Friedman, Marty|Guttersluts|Hurricane G||||Lords of Algol, The|Mentors|New Breed||Psycore|||Screaming Trees|Toxodeth||||||
Angelcorpse|Blamed|Colour Trip|Die Cheerleader||Firkins, Michael Lee|Gwar|Hyperion||||Macc Lads, The|Merauder|Newton Grunts||Public Image Limited||Reid, Terry|Sculptured|Toy Dolls||||||
Angelic Upstarts|Blind Guardian|Coloured Stone|Die Form|||Gravy Train|Hypocrisy|||||Merciless|Nimbles, The||Pulkas||Rolling Stones, The|Scum|Tracii Guns||||||
Angels|Blind Tribe|Combine|Die Kreuzen||Farrell, Perry|Gillan, Ian|Hunter, Ian|||||Mercyful Fate|NIVA||Puncture||Rolling Stones (Tribute), The|Seance|Trademark||||||
Angra|Blindside Blues Band|Common Children|Die Krupps|||Gomm, Ian|Harem Scarem|||||Meshuggah|No Frills||Pungent Stench||Runaways, The|Sebadoh|Traffic||||||
Angrius|Blink 182|Conception|Die Monster Die|||Geils Band, J.|Hendrix, Jimi|||||Metal Church|No Reason Given||Purged||Rice, Tim|Second Coming|Tragedy Divine||||||
Annihilator|Bliss|Concrete Underpass|Die Toten Hosen|||Gaskin, J.C.A.|Hendrix (Tribute), Jimi|||||Metal Edge|No Strings Attached||Purity||Rundgren, Todd|Seelenwinter|Trans Siberian Orchestra||||||
Another Victim|Blitzed|Conflict|Diesel Christ||Firm, The|Goddard, Ken|Hensley, Ken|||||Metal Flake Mother|No Thrills||Pursuit Of Happiness||Reid, Vernon|Selfmindead|Transport League||||||
Anthem|Blitzkrieg|Confrontation|Digital Ruin||||Harris, Michael|||||Metal Madness (Madacy Series)|Noctuary||Purusam|||Sense Field/Shelter/Engine Kid|Transpunk||||||
Anthrax|Blitzz Gestr|Conquest|Dilate|||Gowan, Lawrence |Mick Harris|||||Metal Mania|Nothing 2 Prove||Push|||Sentenced|Trapeze||||||
Anti-Pasti|Blondie|Control Denied|Dimmu Borgir|||Gramm, Lou|Hatchet, Molly|||||Metal Massacre (Series)|NXR||Pyogenesis|||Separation|Trash||||||
